Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
NVDA,NVIDIA Corp,Technology,Semiconductors,4969906831360.0,4.97T
AAPL,Apple Inc,Technology,Consumer Electronics,4275929874432.0,4.28T
MSFT,Microsoft Corp,Technology,Software - Infrastructure,2902586556416.0,2.90T
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,2566108479488.0,2.57T
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,4386274148352.0,4.39T
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,4367737946112.0,4.37T
AVGO,Broadcom Inc,Technology,Semiconductors,1817728778240.0,1.82T
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,1526438821888.0,1.53T
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1439235178496.0,1.44T
MU,Micron Technology Inc,Technology,Semiconductors,1106994921472.0,1.11T
BRK.B,Berkshire Hathaway Inc,,,,
LLY,Eli Lilly & Co,Healthcare,Drug Manufacturers - General,1010342952960.0,1.01T
WMT,Walmart Inc,Consumer Defensive,Discount Stores,963245899776.0,963.25B
JPM,JPMorgan Chase & Co,Financial Services,Banks - Diversified,859372847104.0,859.37B
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,834166325248.0,834.17B
INTC,Intel Corp,Technology,Semiconductors,626088804352.0,626.09B
V,Visa Inc,Financial Services,Credit Services,613103173632.0,613.10B
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,609348681728.0,609.35B
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,579826352128.0,579.83B
ORCL,Oracle Corp,Technology,Software - Infrastructure,529566367744.0,529.57B
CSCO,Cisco Systems Inc,Technology,Communication Equipment,477307731968.0,477.31B
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,458721951744.0,458.72B
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,450373484544.0,450.37B
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,435651411968.0,435.65B
MA,Mastercard Inc,Financial Services,Credit Services,432938450944.0,432.94B
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,419401236480.0,419.40B
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers - General,402351718400.0,402.35B
BAC,Bank of America Corp,Financial Services,Banks - Diversified,397551009792.0,397.55B
CVX,Chevron Corp,Energy,Oil & Gas Integrated,372866908160.0,372.87B
UNH,UnitedHealth Group Inc,Healthcare,Healthcare Plans,370995134464.0,371.00B
KO,Coca-Cola Co/The,Consumer Defensive,Beverages - Non-Alcoholic,355471097856.0,355.47B
GE,General Electric Co,Industrials,Aerospace & Defense,350331371520.0,350.33B
PG,Procter & Gamble Co/The,Consumer Defensive,Household & Personal Products,348381708288.0,348.38B
NFLX,Netflix Inc,Communication Services,Entertainment,338295554048.0,338.30B
MS,Morgan Stanley,Financial Services,Capital Markets,337602052096.0,337.60B
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,332499288064.0,332.50B
HD,Home Depot Inc/The,Consumer Cyclical,Home Improvement Retail,327443152896.0,327.44B
GS,Goldman Sachs Group Inc/The,Financial Services,Capital Markets,313519144960.0,313.52B
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,306831949824.0,306.83B
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,294032605184.0,294.03B
SNDK,Sandisk Corp/DE,Technology,Computer Hardware,293232541696.0,293.23B
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,287242387456.0,287.24B
TXN,Texas Instruments Inc,Technology,Semiconductors,274047139840.0,274.05B
DELL,Dell Technologies Inc,Technology,Computer Hardware,256372080640.0,256.37B
WFC,Wells Fargo & Co,Financial Services,Banks - Diversified,256229670912.0,256.23B
IBM,International Business Machines Corp,Technology,Information Technology Services,255874367488.0,255.87B
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,252774154240.0,252.77B
RTX,RTX Corp,Industrials,Aerospace & Defense,247156801536.0,247.16B
LIN,Linde PLC,Basic Materials,Specialty Chemicals,242071175168.0,242.07B
C,Citigroup Inc,Financial Services,Banks - Diversified,238490828800.0,238.49B
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,227890298880.0,227.89B
QCOM,QUALCOMM Inc,Technology,Semiconductors,223152881664.0,223.15B
AXP,American Express Co,Financial Services,Credit Services,222056333312.0,222.06B
STX,Seagate Technology Holdings PLC,Technology,Computer Hardware,210649759744.0,210.65B
ANET,Arista Networks Inc,Technology,Computer Hardware,205546815488.0,205.55B
TMUS,T-Mobile US Inc,Communication Services,Telecom Services,204644909056.0,204.64B
ADI,Analog Devices Inc,Technology,Semiconductors,203500093440.0,203.50B
MCD,McDonald's Corp,Consumer Cyclical,Restaurants,202359177216.0,202.36B
VZ,Verizon Communications Inc,Communication Services,Telecom Services,200886140928.0,200.89B
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,197208571904.0,197.21B
WDC,Western Digital Corp,Technology,Computer Hardware,194030190592.0,194.03B
AMGN,Amgen Inc,Healthcare,Drug Manufacturers - General,191704383488.0,191.70B
APH,Amphenol Corp,Technology,Electronic Components,189210066944.0,189.21B
TJX,TJX Cos Inc/The,Consumer Cyclical,Apparel Retail,186043269120.0,186.04B
NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,179341197312.0,179.34B
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,174416822272.0,174.42B
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,173816856576.0,173.82B
DIS,Walt Disney Co/The,Communication Services,Entertainment,173720616960.0,173.72B
BA,Boeing Co/The,Industrials,Aerospace & Defense,172677627904.0,172.68B
APP,AppLovin Corp,Communication Services,Advertising Agencies,166884671488.0,166.88B
T,AT&T Inc,Communication Services,Telecom Services,163841818624.0,163.84B
UNP,Union Pacific Corp,Industrials,Railroads,161905606656.0,161.91B
BLK,Blackrock Inc,Financial Services,Asset Management,168059666432.0,168.06B
SCHW,Charles Schwab Corp/The,Financial Services,Capital Markets,158435246080.0,158.44B
GILD,Gilead Sciences Inc,Healthcare,Drug Manufacturers - General,155928756224.0,155.93B
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,155883470848.0,155.88B
GLW,Corning Inc,Technology,Electronic Components,154226294784.0,154.23B
ABT,Abbott Laboratories,Healthcare,Medical Devices,153593085952.0,153.59B
ETN,Eaton Corp PLC,Industrials,Specialty Industrial Machinery,151976738816.0,151.98B
WELL,Welltower Inc,Real Estate,REIT - Healthcare Facilities,151228039168.0,151.23B
BX,Blackstone Inc,Financial Services,Asset Management,150081552384.0,150.08B
PFE,Pfizer Inc,Healthcare,Drug Manufacturers - General,149382430720.0,149.38B
ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,145582178304.0,145.58B
COP,ConocoPhillips,Energy,Oil & Gas E&P,142516043776.0,142.52B
UBER,Uber Technologies Inc,Technology,Software - Application,140150980608.0,140.15B
HON,Honeywell International Inc,Industrials,Conglomerates,139600117760.0,139.60B
PLD,Prologis Inc,Real Estate,REIT - Industrial,139375919104.0,139.38B
CRM,Salesforce Inc,Technology,Software - Application,135863910400.0,135.86B
CVS,CVS Health Corp,Healthcare,Healthcare Plans,130093547520.0,130.09B
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,127808454656.0,127.81B
DHR,Danaher Corp,Healthcare,Diagnostics & Research,127469494272.0,127.47B
CB,Chubb Ltd,Financial Services,Insurance - Property & Casualty,127272419328.0,127.27B
LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,124580446208.0,124.58B
SPGI,S&P Global Inc,Financial Services,Financial Data & Stock Exchanges,123997364224.0,124.00B
LOW,Lowe's Cos Inc,Consumer Cyclical,Home Improvement Retail,123792908288.0,123.79B
MO,Altria Group Inc,Consumer Defensive,Tobacco,120131977216.0,120.13B
SYK,Stryker Corp,Healthcare,Medical Devices,119685234688.0,119.69B
PGR,Progressive Corp/The,Financial Services,Insurance - Property & Casualty,118514688000.0,118.51B
SBUX,Starbucks Corp,Consumer Cyclical,Restaurants,117434687488.0,117.43B
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,116663533568.0,116.66B
VRT,Vertiv Holdings,Industrials,Electrical Equipment & Parts,116335034368.0,116.34B
COF,Capital One Financial Corp,Financial Services,Credit Services,114956148736.0,114.96B
PH,Parker-Hannifin Corp,Industrials,Specialty Industrial Machinery,113916534784.0,113.92B
VRTX,Vertex Pharmaceuticals Inc,Healthcare,Biotechnology,112924377088.0,112.92B
FTNT,Fortinet Inc,Technology,Software - Infrastructure,107186462720.0,107.19B
NEM,Newmont Corp,Basic Materials,Gold,107000815616.0,107.00B
PWR,Quanta Services Inc,Industrials,Engineering & Construction,106203561984.0,106.20B
CDNS,Cadence Design Systems Inc,Technology,Software - Application,106178125824.0,106.18B
MAR,Marriott International Inc/MD,Consumer Cyclical,Lodging,106145218560.0,106.15B
SO,Southern Co/The,Utilities,Utilities - Regulated Electric,105966305280.0,105.97B
HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense,105896452096.0,105.90B
NOW,ServiceNow Inc,Technology,Software - Application,105348120576.0,105.35B
ACN,Accenture PLC,Technology,Information Technology Services,104796291072.0,104.80B
EQIX,Equinix Inc,Real Estate,REIT - Specialty,104132411392.0,104.13B
MDT,Medtronic PLC,Healthcare,Medical Devices,102967566336.0,102.97B
TT,Trane Technologies PLC,Industrials,Building Products & Equipment,101298667520.0,101.30B
BNY,Bank of New York Mellon Corp/The,Financial Services,Banks - Diversified,98824855552.0,98.82B
FCX,Freeport-McMoRan Inc,Basic Materials,Copper,98343469056.0,98.34B
DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric,97426137088.0,97.43B
GD,General Dynamics Corp,Industrials,Aerospace & Defense,97414356992.0,97.41B
