Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
NVDA,NVIDIA Corp,Technology,Semiconductors,4967727366144.0,4.97T
AAPL,Apple Inc,Technology,Consumer Electronics,4281364119552.0,4.28T
MSFT,Microsoft Corp,Technology,Software - Infrastructure,2862115192832.0,2.86T
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,2535558479872.0,2.54T
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,4403103268864.0,4.40T
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,4378347438080.0,4.38T
AVGO,Broadcom Inc,Technology,Semiconductors,1804597723136.0,1.80T
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,1483623497728.0,1.48T
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1433345982464.0,1.43T
MU,Micron Technology Inc,Technology,Semiconductors,1109425389568.0,1.11T
BRK.B,Berkshire Hathaway Inc,,,,
LLY,Eli Lilly & Co,Healthcare,Drug Manufacturers - General,1027277127680.0,1.03T
WMT,Walmart Inc,Consumer Defensive,Discount Stores,954412433408.0,954.41B
JPM,JPMorgan Chase & Co,Financial Services,Banks - Diversified,855514349568.0,855.51B
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,834655485952.0,834.66B
V,Visa Inc,Financial Services,Credit Services,617809969152.0,617.81B
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,616768143360.0,616.77B
INTC,Intel Corp,Technology,Semiconductors,611063562240.0,611.06B
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,574188617728.0,574.19B
ORCL,Oracle Corp,Technology,Software - Infrastructure,521168322560.0,521.17B
CSCO,Cisco Systems Inc,Technology,Communication Equipment,481052098560.0,481.05B
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,454682574848.0,454.68B
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,438964289536.0,438.96B
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,432374120448.0,432.37B
MA,Mastercard Inc,Financial Services,Credit Services,432439099392.0,432.44B
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,418387918848.0,418.39B
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers - General,398182088704.0,398.18B
BAC,Bank of America Corp,Financial Services,Banks - Diversified,397018759168.0,397.02B
CVX,Chevron Corp,Energy,Oil & Gas Integrated,374519955456.0,374.52B
UNH,UnitedHealth Group Inc,Healthcare,Healthcare Plans,368956342272.0,368.96B
KO,Coca-Cola Co/The,Consumer Defensive,Beverages - Non-Alcoholic,353362870272.0,353.36B
GE,General Electric Co,Industrials,Aerospace & Defense,347280474112.0,347.28B
PG,Procter & Gamble Co/The,Consumer Defensive,Household & Personal Products,346542112768.0,346.54B
MS,Morgan Stanley,Financial Services,Capital Markets,340196687872.0,340.20B
NFLX,Netflix Inc,Communication Services,Entertainment,336274391040.0,336.27B
HD,Home Depot Inc/The,Consumer Cyclical,Home Improvement Retail,326455984128.0,326.46B
GS,Goldman Sachs Group Inc/The,Financial Services,Capital Markets,313951322112.0,313.95B
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,307718979584.0,307.72B
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,297391587328.0,297.39B
SNDK,Sandisk Corp/DE,Technology,Computer Hardware,288775307264.0,288.78B
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,287380635648.0,287.38B
TXN,Texas Instruments Inc,Technology,Semiconductors,272809426944.0,272.81B
DELL,Dell Technologies Inc,Technology,Computer Hardware,258970976256.0,258.97B
IBM,International Business Machines Corp,Technology,Information Technology Services,256062357504.0,256.06B
WFC,Wells Fargo & Co,Financial Services,Banks - Diversified,255678513152.0,255.68B
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,250300596224.0,250.30B
RTX,RTX Corp,Industrials,Aerospace & Defense,248220696576.0,248.22B
LIN,Linde PLC,Basic Materials,Specialty Chemicals,242515034112.0,242.52B
C,Citigroup Inc,Financial Services,Banks - Diversified,239104835584.0,239.10B
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,228248895488.0,228.25B
QCOM,QUALCOMM Inc,Technology,Semiconductors,220285992960.0,220.29B
AXP,American Express Co,Financial Services,Credit Services,219695398912.0,219.70B
STX,Seagate Technology Holdings PLC,Technology,Computer Hardware,207058010112.0,207.06B
ANET,Arista Networks Inc,Technology,Computer Hardware,205622362112.0,205.62B
TMUS,T-Mobile US Inc,Communication Services,Telecom Services,203944935424.0,203.94B
MCD,McDonald's Corp,Consumer Cyclical,Restaurants,203222433792.0,203.22B
ADI,Analog Devices Inc,Technology,Semiconductors,202640375808.0,202.64B
VZ,Verizon Communications Inc,Communication Services,Telecom Services,200238940160.0,200.24B
